Id,Parametr,Obniżony parametr ⬇︎,Podwyższony parametr ⬆︎
36,A/G,"```html
<p>Stosunek albumin do globulin (A/G) jest miarą ilości albumin w surowicy podzielonej przez globuliny. Ten stosunek jest używany do identyfikacji przyczyn zmian w białku całkowitym surowicy.</p>

<h4>Obniżony Stosunek Albumin:Globulin</h4>

<h4>Przyczyny obniżenia stosunku A/G:</h4>
<ul>
    <li>Zmniejszona produkcja albumin bez zmniejszenia globulin:
        <ul>
            <li>Choroby wątroby, przewlekła ciężka choroba wątroby z utratą funkcji.</li>
            <li>Zespolenie wrotno-oboczne (PSS).</li>
            <li>Zapalenie (albumina jako białko fazy ostrej ujemnej).</li>
            <li>Kompensacyjnie (przy hiperglobulinemii).</li>
            <li>U noworodków.</li>
            <li>Niedożywienie, niedobory pokarmowe.</li>
            <li>Ciężka infestacja pasożytami jelitowymi.</li>
        </ul>
    </li>
    <li>Zwiększona utrata albumin:
        <ul>
            <li>Nefropatia białkogubna (PLN).</li>
            <li>Niedoczynność kory nadnerczy.</li>
            <li>Enteropatia białkogubna (PLE).</li>
            <li>Dermatopatia białkogubna.</li>
        </ul>
    </li>
    <li>Zwiększone globuliny bez zwiększenia albumin:
        <ul>
            <li>Zapalenie.</li>
            <li>Przewlekłe choroby zapalne lub autoimmunologiczne (np. zapalenie jamy ustnej).</li>
            <li>Zakażenia (np. zakaźne zapalenie otrzewnej u kotów [FIP], erlichioza, przewlekła ropowica skóry, ektopasożyty).</li>
            <li>Nowotwory, np. szpiczak mnogi, chłoniak z komórek B).</li>
            <li>Zaawansowana ciąża.</li>
            <li>Laktacja.</li>
        </ul>
    </li>
</ul>
```","```html
<p>Podwyższony stosunek albumin do globulin (A/G) w surowicy może występować w różnych stanach klinicznych i jest zwykle efektem albo zwiększonego poziomu albumin, albo zmniejszonego poziomu globulin.</p>
<ul>
    <li>Artefakt (hemoliza)</li>
    <li>Zmniejszenie globulin bez albumin (niedobory, gammopatia monoklonalna)</li>
    <li>Wzrost albumin (odwodnienie)</li>
</ul>
```"
23,Albuminy,"```html
<ol>
    <li>Choroby wątroby.</li>
    <li>Choroby nerek (np. kłębuszkowe zapalenie nerek, przewlekła niewydolność nerek lub zespół nerczycowy).</li>
    <li>Niedożywienie.</li>
    <li>Choroba przewodu pokarmowego: np. jak choroba zapalna jelit (IBD), tasiemczyca, zapalenie jelit lub guzy nowotworowe.</li>
    <li>Zapalenie trzustki.</li>
    <li>Ciężkie oparzenia lub choroby skóry.</li>
    <li>Krwotok.</li>
    <li>Choroby przewlekłe.</li>
    <li>Niewydolność serca.</li>
    <li>Enteropatia białkogubna (PLE).</li>
    <li>Choroby autoimmunologiczne np. toczeń układowy.</li>
    <li>Posocznica.</li>
    <li>Nadczynność tarczycy.</li>
</ol>
```","```html
<ol>
    <li>Odwodnienie</li>
    <li>Choroby wątroby</li>
    <li>Choroby nerek</li>
    <li>Zapalenie</li>
    <li>Zakażenia</li>
    <li>niektóre nowotwory</li>
</ol>
```"
16,Aminotransferaza alaninowa (ALT),"```html
<p>U psów i kotów obniżone poziomy ALT mogą wskazywać na różne stany, jednak ogólnie ALT jest sprawdzane w celu wykrycia podwyższenia, co może wskazywać na uszkodzenie wątroby. Rzadko dochodzi do obniżenia poziomu ALT i zazwyczaj nie powoduje to znaczących problemów. Potencjalne stany mogą obejmować:</p>
<ol>
    <li>Niedobory pokarmowe</li>
    <li>Niedoczynność tarczycy</li>
    <li>Przewlekła choroba nerek.</li>
    <li>Ciężka choroba wątroby lub niewydolność wątroby.</li>
    <li>Pewne leki.</li>
    <li>Wrodzone zespolenie wrotno-oboczne.</li>
</ol>
```","```html
<ol>
    <li>Choroba wątroby (anomalie naczyniowe, nowotwór, hipoplazja żyły wrotnej)</li>
    <li>Zapalenie wątroby (pierwotne lub infekcja np. leptospiroza, FIP, bakteryjne zakażenie dróg żółciowych)</li>
    <li>Zapalenie trzustki</li>
    <li>Choroba pęcherzyka żółciowego</li>
    <li>Pewne leki lub toksyny (np. NLPZ, metimazol, fenobarbital)</li>
    <li>Choroby metaboliczne np. nadczynność kory nadnerczy, nadczynność tarczycy, cukrzyca, stłuszczenie wątroby</li>
    <li>Ciężkie miopatie</li>
    <li>Choroby dziedziczne (np. spichrzeniowa miedzi u Bedlington terrierów, lizosomalna)</li>
    <li>Niedotlenienie lub niedokrwienie wątroby (np. ciężka anemia, wstrząs, zastoinowa niewydolność serca)</li>
</ol>
```"
18,Aminotransferaza asparaginianowa (AST),"<p>Bez znaczenia klinicznego.</p>
<h4>Niektórze potencjalne (ale mniej powszechne) różnicowe rozpoznania mogą obejmować:</h4>
<ol>
    <li>Ciężka utrata masy mięśniowej lub zanik mięśni</li>
    <li>Niektóre zaburzenia metaboliczne</li>
    <li>Miastenia gravis</li>
    <li>Dystrofia mięśniowa</li>
</ol>","```html
<ol>
    <li>Zapalenie (przewlekłe zapalenie wątroby, zapalenie trzustki, marskość wątroby)</li>
    <li>Zakażenie (leptospiroza, FIP, bakteryjne zap. dróg żółciowych i wątroby, histoplazmoza, choroba Rubartha)</li>
    <li>Leki i zatrucia (NLPZ, fenobrabital, sterydy)</li>
    <li>Niedokrwienie i niedotlenienie wątroby (Nadczynność tarczycy, stłuszczenie wątroby, cukrzyca, kwasica ketonowa)</li>
    <li>Uraz.</li>
    <li>Nowotwór</li>
</ol>
```"
29,Amylaza,"```html
<ol>
    <li>Zewnątrzwydzielnicza niewydolność trzustki.</li>
    <li>Niedożywienie.</li>
    <li>Choroba wątroby.</li>
    <li>Przewlekła choroba nerek.</li>
    <li>Choroby układu pokarmowego.</li>
    <li>Niedoczynność nadnerczy.</li>
    <li>Niektóre leki.</li>
    <li>Zespoły złego wchłaniania.</li>
    <li>Zaburzenia genetyczne.</li>
    <li>Zapalenie trzustki (przewlekłe).</li>
    <li>Guzy zewnątrzwydzielnicze trzustki.</li>
    <li>Nadczynność tarczycy.</li>
</ol>
```","```html
<ol>
    <li>Zapalenie trzustki,</li>
    <li>Choroba nerek,</li>
    <li>Niedrożność przewodu pokarmowego,</li>
    <li>Choroba wątroby,</li>
    <li>Cukrzyca</li>
</ol>
```"
19,Azot mocznikowy we krwi (BUN),"```html
<ol>
    <li>Niedożywienie lub niewystarczające spożycie białka</li>
    <li>Choroba/wada wrodzona wątroby</li>
    <li>Ciężka choroba przewodu pokarmowego, która hamuje wchłanianie składników odżywczych</li>
    <li>Nadmierne nawodnienie lub nadmierne spożycie płynów</li>
    <li>Wrodzone zespolenie wrotno-oboczne</li>
    <li>Ostre zapalenie trzustki</li>
    <li>Niedoczynność kory nadnerczy</li>
    <li>Nowotwór</li>
    <li>Ciąża</li>
    <li>Zespoły złego wchłaniania</li>
    <li>Nadczynność tarczycy</li>
    <li>Cukrzyca</li>
    <li>Ciężka infekcja lub posocznica</li>
    <li>Dysfunkcja kanalików nerkowych</li>
    <li>Kwasica metaboliczna</li>
    <li>Wzrost (u młodych zwierząt)</li>
    <li>Stan hipermetaboliczny (ze względu na stres, infekcję lub inne przyczyny)</li>
    <li>Młody wiek (szczenięta i kocięta mają naturalnie niższe stężenie azotu mocznikowego niż dorośli)</li>
    <li>Ropomacicze (u suk)</li>
    <li>Wrodzone anomalie naczyniowe</li>
    <li>Stosowanie kortykosteroidów</li>
    <li>Krwawienie w przewodzie pokarmowym (utrata krwi może rozcieńczyć azot mocznikowy)</li>
    <li>Zaawansowana choroba wątroby</li>
    <li>Podawanie płynów w trakcie leczenia</li>
    <li>Choroby nerek, które powodują polidypsję i poliurię</li>
    <li>Po posiłku</li>
    <li>Długotrwała anoreksja</li>
    <li>Ostre zapalenie nerek</li>
</ol>
```","```html
<h4>Przyczyny nerkowe</h4>
<ul>
    <li>Zakażenie (odmiedniczkowe, leptospiroza, borelioza)</li>
    <li>Zapalne (np. kłębuszkowe zapalenie nerek, cewkowo-śródmiąższowe zapalenie nerek)</li>
    <li>Zatrucie (np. NLPZ, glikol etylenowy)</li>
    <li>Nowotwór</li>
    <li>Amyloidoza</li>
    <li>Niedokrwienie</li>
    <li>Wrodzona choroba nerek (np. wielotorbielowatość, dysplazja)</li>
</ul>

<h4>Przyczyny przednerkowe</h4>
<ul>
    <li>Odwodnienie</li>
    <li>Krwawienie w ukł. pokarmowym</li>
    <li>Gorączka</li>
    <li>Uraz</li>
    <li>Wysokobiałkowy posiłek</li>
    <li>Krwotok/hipowolemia</li>
    <li>Zastoinowa niewydolność serca</li>
    <li>Niedoczynność kory nadnerczy (choroba Addisona)</li>
</ul>

<h4>Zanerkowe</h4>
<ul>
    <li>Uroabdomen</li>
    <li>Niedrożność moczowodu lub cewki moczowej</li>
</ul>
```"
13,Bazofile,"```html
<ol>
    <li><strong>Infekcje wirusowe:</strong> Infekcje wirusowe takie jak parwowiroza, FIV, FeLV.</li>
    <li><strong>Infekcje bakteryjne:</strong> np. ropomacicze u psów i kotów, hemobartoneloza u kotów, lub leptospiroza u psów.</li>
    <li><strong>Leczenie kortykosteroidami:</strong> Zarówno terapia, jak i nadmierne uwalnianie z nadnerczy.</li>
    <li><strong>Choroby pierwotne szpiku kostnego.</strong></li>
    <li><strong>Ciężkie reakcje alergiczne/anafilaksja.</strong></li>
    <li><strong>Przewlekła choroba ogólnoustrojowa:</strong> np. choroba wątroby, niewydolność nerek lub proces nowotworowy.</li>
    <li><strong>Nadczynność tarczycy.</strong></li>
    <li><strong>Endotoksemia.</strong></li>
    <li><strong>Szczepienia.</strong></li>
</ol>
<p><strong>Uwaga:</strong> Liczba bazofili może naturalnie obniżać się w odpowiedzi na różne choroby, ale często jest trudna do interpretacji ze względu na ich normalnie niską liczbę we krwi.</p>
```","```html
<ol>
    <li>Alergie</li>
    <li>Zakażenia pasożytnicze</li>
    <li>Przewlekłe choroby zapalne</li>
    <li>Niedoczynność tarczycy</li>
    <li>Pewne rodzaje nowotworów (np. chłoniak)</li>
    <li>Zaburzenia autoimmunologiczne</li>
    <li>Nadczynność kory nadnerczy</li>
    <li>Pewne leki lub reakcje na leki</li>
    <li>Ziarniniak eozynofilowy</li>
</ol>
```"
22,Białko całkowite,"```html
<ol>
    <li>Choroba wątroby (np. zespolenie, przewlekłe zapalenie)</li>
    <li>Choroba nerek</li>
    <li>Niedożywienie lub złe wchłanianie</li>
    <li>Przewlekłe zapalenie</li>
    <li>Enteropatia białkogubna lub limfangiektazja</li>
    <li>Nefropatia białkogubna</li>
    <li>Infekcje pasożytnicze</li>
    <li>Zewnątrzwydzielnicza niewydolność lub zapalenie trzustki</li>
    <li>Zaburzenia układu immunologicznego</li>
    <li>Zaburzenia przewodu pokarmowego</li>
    <li>Zastoinowa niewydolność serca</li>
    <li>Krwotok</li>
    <li>Zapalenie otrzewnej lub opłucnej</li>
    <li>Niedoczynność kory nadnerczy</li>
    <li>Przewodnienie</li>
    <li>Hipowolemia</li>
</ol>
```","```html
<ol>
    <li>Odwodnienie</li>
    <li>Zapalenie lub infekcja (FIP, ehrlichia, przewlekłe ropne zapalenie skóry, pasożyty zewnętrzne)</li>
    <li>Choroby wątroby</li>
    <li>Niektóre rodzaje nowotworów (szpiczak mnogi, chłoniak z komórek B)</li>
    <li>Choroby autoimmunologiczne</li>
    <li>Artefakt (lipemia, hemoliza)</li>
</ol>
```"
33,Białko C-reaktywne (CRP),"<p>Białko C-reaktywne (CRP) jest zwykle używane jako wskaźnik stanu zapalnego lub infekcji u psów. Spadek poziomu CRP zazwyczaj jest uważany za normalny lub pożądany, ponieważ biologicznie oznacza zmniejszenie stanu zapalnego lub wyzdrowienie po infekcji u zwierzęcia. Dlatego zazwyczaj nie jest stosowane jako narzędzie diagnostyczne do wykrywania jakiejkolwiek choroby, gdy jego poziom jest obniżony.</p>

<p>Mimo to, ogólnie rzecz biorąc, zmniejszone CRP może być możliwie związane z:</p>
<ol>
    <li>Zanik stanu zapalnego</li>
    <li>Wyzdrowienie po infekcjach bakteryjnych lub grzybiczych</li>
    <li>Skuteczne leczenie przeciwzapalne</li>
    <li>Dobry ogólny stan zdrowia</li>
    <li>Pomyślne wyzdrowienie po operacji</li>
    <li>Remisja nowotworu</li>
</ol>","```html
<ol>
    <li>Zakażenia bakteryjne lub grzybicze</li>
    <li>Przewlekłe i ostre stany zapalne, takie jak zapalenie trzustki lub choroba zapalna jelit</li>
    <li>Choroby autoimmunologiczne</li>
    <li>Guzy lub nowotwory</li>
    <li>Urazy lub obrażenia</li>
    <li>Zapalenie pooperacyjne</li>
    <li>Choroba serca</li>
    <li>Zakażenia nerek lub dróg moczowych</li>
    <li>Określone leki lub reakcje na leki.</li>
</ol>
```"
27,Bilirubina,"<p>Obniżony poziomy bilirubiny u psów i kotów jest rzadki i zazwyczaj nie stanowią powodu do niepokoju. Bilirubina u zdrowych zwierząt jest zazwyczaj niska, a jakakolwiek niewielka obniżka zazwyczaj nie oznacza problemu.</p>

<ol>
    <li>Dysfunkcja wątroby.</li>
    <li>Anemia lub hemoliza.</li>
    <li>Niewłaściwa produkcja żółci.</li>
    <li>Niedobory żywieniowe lub problemy z wchłanianiem składników odżywczych.</li>
    <li>Pewne rodzaje nowotworów.</li>
</ol>","```html
<ol>
    <li>Choroba wątroby z wewnątrzwątrobowym lub zewnątrzwątrobowym zastojem żółci (patrz ALP).</li>
    <li>Hemoliza wewnątrznaczyniowa (np. IMHA, anemia z ciałkami Heinza).</li>
    <li>Zastój żółci funkcjonalny w efekcie posocznicy.</li>
    <li>Artefakt (hemoliza lub lipemia).</li>
</ol>
```"
39,Chlorki,"```html
<h4>Zaburzenia gospodarki wodno-elektrolitowej:</h4>
<ul>
    <li>Zwiększone wydalanie chlorków z moczem, np. w wyniku stosowania diuretyków, ketonuria.</li>
    <li>Przewlekłe wymioty lub biegunka, ślinienie się, pasożyty jelitowe.</li>
</ul>

<h4>Zaburzenia metaboliczne:</h4>
<ul>
    <li>Kwasica metaboliczna, w której dochodzi do kompensacyjnej utraty chlorków - kwasica ketonowa, mleczanowa, oddechowa lub zatrucie glikolem etylenowym.</li>
</ul>

<h4>Stany chorobowe:</h4>
<ul>
    <li>Choroby nerek, które mogą zaburzać zdolność organizmu do utrzymania odpowiedniego stężenia chlorków.</li>
    <li>Cukrzyca, zastoinowa niewydolność serca, hiperaldosteronizm, niedoczynność kory nadnerczy.</li>
</ul>

<h4>Artefakt:</h4>
<ul>
    <li>Hiperlipidemia, hiperproteinemia.</li>
</ul>
```","```html
<ol>
    <li>Utrata z ukł. pokarmowego - ostra biegunka, wymioty</li>
    <li>Cukrzyca, choroba nerek, leki moczopędne - diureza osmotyczna</li>
    <li>Utrata wody - gorączka, przegrzanie, zianie, ślinienie</li>
    <li>Nieodpowiedni pobór wody</li>
    <li>Artefakt podczas terapii bromkiem potasu</li>
    <li>Moczówka prosta ośrodkowa lub nefrogenna</li>
    <li>Nadmiar sodu - płynoterapia roztworem hipertonicznym soli, zatrucie solą, hiperaldosteronizm</li>
    <li>Artefakt - odwodnienie próbki</li>
    <li>Przewlekła zasadowica oddechowa</li>
</ol>
```"
28,Cholesterol,"```html
<ol>
    <li>Niedożywienie/nieprawidłowe wchłanianie.</li>
    <li>Choroba wątroby (np. zespolenie, utrata funkcji).</li>
    <li>Nadczynność tarczycy.</li>
    <li>Niewydolność zewnątrzwydzielnicza.</li>
    <li>Cukrzyca.</li>
    <li>Pasożyty jelitowe.</li>
    <li>Przewlekła choroba nerek.</li>
    <li>Niedoczynność kory nadnerczy.</li>
    <li>Niepożądana reakcja na leki.</li>
    <li>Nadczynność kory nadnerczy.</li>
    <li>Choroba zapalna jelit.</li>
    <li>Choroba nowotworowa.</li>
    <li>Limfagiektazja.</li>
</ol>
<p>Należy pamiętać, że niski poziom cholesterolu nie jest sam w sobie problemem, może jedynie wskazywać na obecność jednej z tych chorób. Ważne jest spojrzenie na cały obraz kliniczny i wykonanie niezbędnych badań diagnostycznych.</p>
```","```html
<ol>
    <li>Niedoczynność tarczycy</li>
    <li>Nadczynność kory nadnerczy</li>
    <li>Cukrzyca</li>
    <li>Zapalenie trzustki</li>
    <li>Hiperlipidemia poposiłkowa</li>
    <li>Choroba nerek (np. zespół nerczycowy, nefropatia białkogubna)</li>
    <li>Choroba wątroby</li>
    <li>Otyłość</li>
    <li>Określone leki, takie jak kortykosteroidy</li>
    <li>Zaburzenia genetyczne wpływające na metabolizm lipidów.</li>
    <li>Leki (sterydy, fenobarbital)</li>
</ol>
```"
