Id,Parametr,Obniżony parametr ⬇︎,Podwyższony parametr ⬆︎
12,Eozynofile,"```html
<ol>
    <li>Terapia kortykosteroidami: Wysokie poziomy kortyzolu, zarówno z powodu leków, jak i choroby (nadczynność kory nadnerczy) u zwierząt domowych, mogą prowadzić do obniżenia poziomów eozynofilów.</li>
    <li>Stres.</li>
    <li>Infekcje wirusowe: Np. parwowirus u psów lub wirus białaczki kotów (FeLV).</li>
    <li>Ciężkie infekcje bakteryjne, grzybicze lub pasożytnicze.</li>
    <li>Przewlekła choroba nerek.</li>
    <li>Nowotwory: Np. chłoniak, które wpływają na szpik kostny lub układ odpornościowy kotów i psów, mogą powodować spadek poziomu eozynofilów.</li>
    <li>Leki.</li>
    <li>Choroby autoimmunologiczne.</li>
    <li>Choroby endokrynologiczne: np. nadczynność tarczycy, cukrzyca.</li>
    <li>Zespół ogólnoustrojowej odpowiedzi zapalnej (SIRS).</li>
</ol>
```","```html
<ol>
    <li>Alergie (takie jak alergie pokarmowe lub alergie środowiskowe)</li>
    <li>Infekcje pasożytnicze.</li>
    <li>Infekcje skóry (bakteryjne, grzybicze)</li>
    <li>Choroba zapalna jelit</li>
    <li>Astma lub inne choroby układu oddechowego</li>
    <li>Ziarniniak eozynofilowy.</li>
    <li>Eozynofilowe zapalenie żołądka.</li>
    <li>Eozynofilowe zapalenie oskrzeli.</li>
    <li>Niektóre rodzaje nowotworów (takie jak chłoniak lub guzy komórek tucznych)</li>
    <li>Reakcje lub skutki uboczne leków.</li>
</ol>
```"
17,Fosfataza zasadowa (ALP),"```html
<ol>
    <li>Niedożywienie lub głodzenie.</li>
    <li>Niedoczynność tarczycy.</li>
    <li>Niedobór cynku.</li>
    <li>Niedoczynność nadnerczy.</li>
    <li>Choroba lub dysfunkcja wątroby.</li>
    <li>Niektóre choroby genetyczne.</li>
    <li>Zaburzenia wzrostu kości (u szczeniąt i kociąt).</li>
    <li>Pewne leki: np. glikokortykosteroidy.</li>
    <li>Choroba nerek.</li>
    <li>Niewydolność trzustki.</li>
    <li>Choroby układu pokarmowego np. choroba zapalna jelit.</li>
    <li>Ciężkie zespoły złego wchłaniania lub trawienia.</li>
</ol>
```","```html
<ol>
    <li>Choroba wątroby z wewnątrzwątrobowym zastojem żółci.</li>
    <li>Choroby zakaźne (np. leptospiroza, zakaźne zapalenie otrzewnej kotów [FIP], bakteryjne zapalenie dróg żółciowych i wątroby)</li>
    <li>Zapalenie (pierwotne - przewlekłe zapalenie wątroby, zapalenie dróg żółciowych i wątroby, wtórne - np. zapalenie trzustki, zapalenie żołądka i jelit)</li>
    <li>Zatrucie (np. mykotoksyny)</li>
    <li>Anomalie naczyniowe i zespolenie wrotno-oboczne</li>
    <li>Nowotwór (pierwotny lub przerzuty)</li>
    <li>Niedotlenienie lub niedokrwienie wątroby</li>
    <li>Uraz</li>
    <li>Choroby dziedziczne</li>
    <li>Guzkowy przerost wątroby</li>
    <li>Pozawątrobowy zastój żółci (zapalenie trzustki
        Choroby dróg żółciowych (np. mukocele, kamica pęcherzyka żółciowego, zapalenie pęcherzyka żółciowego, rak dróg żółciowych)</li>
    <li>Choroby metaboliczne (nadczynność kory nadnerczy, nadczynność tarczycy, cukrzyca, stłuszczenie wątroby, nadczynność przytarczyc)</li>
    <li>Indukcja przez leki (np. kortykosteroidy, fenobarbital, tyroksyna)</li>
    <li>Zwiększona aktywność osteoblastyczna w kościach (młode zwierzęta (zwiększa się do 3-4 razy w stosunku do dorosłych psów), rak kości (np. kostniakomięsak) lub przerzuty do kości (np. nowotwory sutka, prostaty), gojenie złamania)</li>
</ol>
```"
26,Fosfor,"```html
<ol>
    <li>Niedoczynność przytarczyc</li>
    <li>Przewlekła niewydolność nerek</li>
    <li>Nadczynność tarczycy</li>
    <li>Zaburzenia wchłaniania</li>
    <li>Niedobór witaminy D</li>
    <li>Pewne leki lub toksyny</li>
    <li>Stłuszczenie wątroby</li>
    <li>Anoreksja</li>
    <li>Cukrzyca</li>
</ol>
```","```html
<ol>
    <li>Przewlekła niewydolność nerek</li>
    <li>Nadczynność przytarczyc</li>
    <li>Niedoczynność tarczycy</li>
    <li>Niedoczynność kory nadnerczy</li>
    <li>Ostra niewydolność nerek</li>
    <li>Cukrzyca</li>
    <li>Pewne rodzaje nowotworów (chłoniak, szpiczak mnogi)</li>
    <li>Nadmierne spożycie fosforu w diecie</li>
</ol>
```"
31,Gamma-glutamylotranspeptydaza (GGT),"<ul>
    <li>Choroba wątroby</li>
    <li>Zapalenie trzustki</li>
    <li>Choroba pęcherzyka żółciowego</li>
    <li>Choroba zapalna jelit</li>
    <li>Niedoczynność tarczycy</li>
    <li>Leki hepatotoksyczne</li>
    <li>Nowotwory (takie jak rak wątroby lub trzustki)</li>
    <li>Nadczynność kory nadnerczy</li>
    <li>Choroby zakaźne (takie jak leptospiroza lub wirusowe zapalenie wątroby)</li>
    <li>Anemia hemolityczna</li>
</ul>","```html
<ol>
    <li>Choroba wątroby (patrz podwyższona ALP)</li>
    <li>Zapalenie trzustki</li>
    <li>Choroba pęcherzyka żółciowego</li>
    <li>Nadczynność kory nadnerczy</li>
    <li>Leki hepatotoksyczne</li>
    <li>Otyłość</li>
    <li>Cukrzyca</li>
    <li>Nadczynność tarczycy</li>
    <li>Choroba nerek</li>
    <li>Niektóre infekcje (leptospiroza, wirusowe zapalenie wątroby psów)</li>
    <li>Artefakt</li>
</ol>
```"
24,Globuliny,"```html
<ol>
    <li>Zespół nerczycowy.</li>
    <li>Choroba zapalna jelit (IBD).</li>
    <li>Choroba wątroby.</li>
    <li>Niedożywienie.</li>
    <li>Pasożyty jelitowe.</li>
    <li>Przewlekła utrata krwi.</li>
    <li>Ciężkie oparzenia.</li>
    <li>Nadczynność tarczycy.</li>
    <li>Choroby genetyczne/dziedziczne.</li>
    <li>Niewydolność trzustki.</li>
    <li>Zespoły złego wchłaniania.</li>
    <li>Niektóre choroby szpiku kostnego.</li>
</ol>
```","```html
<ol>
    <li>Choroby zapalne (np. infekcje, choroby autoimmunologiczne)</li>
    <li>Choroby przewlekłe (np. choroba wątroby, choroba nerek)</li>
    <li>Enteropatia białkogubna</li>
    <li>Nowotwory (np. chłoniak, szpiczak mnogi)</li>
    <li>Infekcje pasożytnicze</li>
    <li>Odwodnienie</li>
</ol>
```"
21,Glukoza,"```html
<ol>
    <li>Cukrzyca</li>
    <li>Hipoglikemia w wyniku wysiłku fizycznego</li>
    <li>Niedoczynność kory nadnerczy</li>
    <li>Choroba wątroby</li>
    <li>Zapalenie trzustki</li>
    <li>Insulinoma</li>
    <li>Karłowatość przysadkowa</li>
    <li>Niedożywienie</li>
    <li>Głodzenie lub post</li>
    <li>Posocznica</li>
    <li>Przedawkowanie insuliny</li>
    <li>Późna ciąża</li>
</ol>
```","```html
<ol>
    <li>Cukrzyca,</li>
    <li>Stres (zespół białego fartucha)</li>
    <li>Nadczynność kory nadnerczy</li>
    <li>Zapalenie trzustki,</li>
    <li>Nadczynność lub niedoczynność tarczycy,</li>
    <li>Glukagonoma, inne nowotwory</li>
    <li>Akromegalia</li>
    <li>Leki (sterydy, ketamina, octan megestrolu)</li>
    <li>Po posiłku</li>
</ol>
```"
4,Hematokryt (HCT)/Objętość Krwinek (PCV),"```html
<ol>
    <li>Anemia.</li>
    <li>Krwotok.</li>
    <li>Choroba nerek.</li>
    <li>Choroby szpiku kostnego.</li>
    <li>Niedobór składników odżywczych.</li>
    <li>Autoimmunologiczna anemia hemolityczna (AIHA).</li>
    <li>Infekcje.</li>
    <li>Choroba nowotworowa.</li>
    <li>Choroba przewlekła: Każda długotrwała, wyniszczająca choroba może powodować anemię związaną z chorobą przewlekłą, która często objawia się obniżonym hematokrytem.</li>
    <li>Anemia wywołana lekami: Niektóre leki, takie jak leki chemioterapeutyczne lub niektóre antybiotyki, mogą powodować anemię i obniżony hematokryt.</li>
    <li>Parwowiroza: U psów parwowirus może powodować poważne uszkodzenie jelit, prowadzące do utraty krwi i obniżenia hematokrytu.</li>
    <li>Nadczynność kory nadnerczy.</li>
</ol>
```","```html
<ol>
    <li>Odwodnienie: Z powodu zmniejszenia objętości osocza.</li>
    <li>Czerwienica prawdziwa.</li>
    <li>Policytemia: To termin określający wysoką liczbę czerwonych krwinek. Może być względna, na przykład w przypadku odwodnienia, lub bezwzględna - związana z chorobą nerek.</li>
    <li>Choroba nerek: np. rak, powodujący wydzielanie EPO.</li>
    <li>Choroby serca.</li>
    <li>Przewlekłe niedotlenienie.</li>
    <li>Życie na wysokości.</li>
    <li>Niektóre rodzaje nowotworów.</li>
    <li>Terapia sterydami.</li>
    <li>Nadczynność kory nadnerczy.</li>
    <li>Nowotwory lub dysplazje szpiku kostnego.</li>
</ol>
```"
3,Hemoglobina (Hb),"```html
<ol>
    <li>Anemia (różne typy).</li>
    <li>Krwotok.</li>
    <li>Utrata krwi (wewnętrzna lub zewnętrzna).</li>
    <li>Przewlekła choroba nerek.</li>
    <li>Zaburzenia szpiku kostnego.</li>
    <li>Niedobór żelaza.</li>
    <li>Niedobory żywieniowe.</li>
    <li>Określone typy nowotworów.</li>
    <li>Infekcje (pasożytnicze, lub wirusowe).</li>
    <li>Choroba zapalna.</li>
    <li>Hemoliza (niszczenie czerwonych krwinek).</li>
    <li>Białaczka.</li>
    <li>Zespół mielodysplastyczny.</li>
    <li>Określone leki lub toksyny.</li>
    <li>Choroba wątroby.</li>
    <li>Choroby autoimmunologiczne.</li>
    <li>Genetyczne zaburzenia wpływające na produkcję czerwonych krwinek.</li>
    <li>Narażenie na określone substancje chemiczne lub toksyny.</li>
    <li>Choroba serca wywołana przez Dirofilaria immitis.</li>
    <li>Zaburzenia hormonalne, takie jak niedoczynność tarczycy lub niedoczynność kory nadnerczy.</li>
</ol>
```","```html
<ol>
    <li>Odwodnienie: Odwodnienie może powodować podwyższone poziomy hemoglobiny z powodu hemoaglutynacji, co jest efektem spadku objętości osocza we krwi.</li>
    <li>Czerwienica prawdziwa (poliglobulia).</li>
    <li>Przewlekłe niedotlenienie.</li>
    <li>Choroby serca.</li>
    <li>Choroby płuc.</li>
    <li>Choroba nerek.</li>
    <li>Zaburzenia endokrynologiczne.</li>
    <li>Niektóre rodzaje nowotworów.</li>
</ol>
```"
20,Kreatynina,"```html
<ol>
    <li>Zmniejszona masa mięśniowa.</li>
    <li>Choroba wątroby.</li>
    <li>Niedożywienie.</li>
    <li>Nadczynność tarczycy.</li>
    <li>Przewlekła niewydolność nerek.</li>
    <li>Nowotwory.</li>
    <li>Niedoczynność kory nadnerczy.</li>
    <li>Utrata przestrzeni trzeciej: stany powodujące poważną utratę płynów ciała, takie jak krwotok lub oparzenia.</li>
    <li>Ciąża.</li>
    <li>Poważne zakażenia pasożytnicze.</li>
</ol>
```","<p>Patrz BUN (powyżej) oraz:</p>
<ul>
    <li>Choroba mięśni (uraz lub zapalenie)</li>
    <li>Artefakt</li>
    <li>Dieta oparta na gotowanym mięsie</li>
</ul>"
8,Liczba leukocytów (WBC),"```html
<ol>
    <li>Infekcje wirusowe: parwowirus u psów, wirus białaczki kotów, wirus niedoboru odporności kotów.</li>
    <li>Infekcje bakteryjne: posocznica (sepsa), przewlekłe zakażenia bakteryjne.</li>
    <li>Choroby autoimmunologiczne: zapalenie naczyń, toczeń rumieniowaty układowy.</li>
    <li>Choroby szpiku kostnego: anemia aplastyczna, zespół mielodysplastyczny.</li>
    <li>Określone leki: leki chemioterapeutyczne, leki sulfonamidowe, leki przeciwpadaczkowe.</li>
    <li>Choroby metaboliczne: przewlekła choroba nerek, niewydolność wątroby.</li>
    <li>Ciężkie niedożywienie.</li>
    <li>Narażenie na promieniowanie.</li>
    <li>Przewlekły stres.</li>
    <li>Nowotwory: chłoniak, białaczki.</li>
    <li>Neutropenia tła immunologicznego.</li>
    <li>Zespół paranowotworowy.</li>
    <li>Choroby zakaźne: erlichioza, babeszjoza.</li>
    <li>Określone infekcje grzybicze: histoplazmoza, blastomykoza.</li>
    <li>Choroby przenoszone przez kleszcze: erlichioza u psów, borelioza.</li>
    <li>Choroba trzustki.</li>
    <li>Niedoczynność tarczycy.</li>
    <li>Choroby genetyczne: cykliczna neutropenia u owczarków collie.</li>
    <li>Nadczynność kory nadnerczy.</li>
    <li>Infekcje bakteryjne: bruceloza, leptospiroza.</li>
</ol>
```","```html
<ol>
    <li>Infekcja bakteryjna</li>
    <li>Ogólnoustrojowe zapalenie</li>
    <li>Choroba o podłożu immunologicznym</li>
    <li>Białaczka</li>
    <li>Ciężki stres fizyczny lub emocjonalny</li>
    <li>Uraz</li>
    <li>Uszkodzenie tkanek (np. oparzenia)</li>
    <li>Stosowanie sterydów</li>
    <li>Reakcje alergiczne</li>
    <li>Zakażenia pasożytnicze</li>
    <li>Zakażenia wirusowe</li>
    <li>Zakażenia grzybicze</li>
    <li>Nowotwory</li>
    <li>Krwotok lub ciężka utrata krwi</li>
    <li>Zaburzenia metaboliczne, takie jak choroba nerek lub wątroby</li>
    <li>Choroby zakaźne m.in. choroby przenoszone przez kleszcze, parwowiroza lub zespół niedoboru immunologicznego u kotów (FIV)</li>
    <li>Zapalenie trzustki</li>
    <li>Ropomacicze (u samic zwierząt)</li>
    <li>Ropień lub inne zlokalizowane zakażenie</li>
    <li>Pewne leki lub toksyny</li>
</ol>
```"
14,Liczba płytek krwi i hematokryt płytkowy,"```html
<ol>
    <li>Artefakt (agregaty płytek - szczególnie u kotów, skrzep)</li>
    <li>Małopłytkowość tła immunologicznego (IMT).</li>
    <li>Białaczka.</li>
    <li>Rozsiane wykrzepianie wewnątrznaczyniowe (DIC).</li>
    <li>Choroby zakaźne: np. erlichioza, babeszjoza, wirus białaczki kociej (FeLV), wirus niedoboru odporności u kotów (FIV) lub borelioza.</li>
    <li>Krwotoczne zapalenie żołądka i jelit.</li>
    <li>Leki: np. leki chemioterapeutyczne lub niektóre antybiotyki.</li>
    <li>Choroby szpiku kostnego: np. zespół mielodysplastyczny lub chłoniak.</li>
    <li>Hemofilia.</li>
    <li>Posocznica.</li>
    <li>Nadczynność tarczycy.</li>
    <li>Zespół nerczycowy.</li>
</ol>
```","```html
<ol>
    <li>Odpowiedź zapalna</li>
    <li>Infekcja</li>
    <li>Krwotok</li>
    <li>Splenektomia, zabieg chirurgiczny, uraz</li>
    <li>Choroby szpiku kostnego</li>
    <li>Choroba o podłożu immunologicznym</li>
    <li>Chemioterapia</li>
    <li>Niektóre nowotwory (ostra białaczka megakarioblastyczna, przewlekła białaczka szpikowa, zespół mielodysplastyczny)</li>
    <li>Nadczynność kory nadnerczy, stres, terapia sterydami</li>
    <li>Przewlekłe krwawienie/niedobór żelaza</li>
    <li>Odbicie po anemii (wtórnie do EPO) oraz trombocytopenii</li>
    <li>Reaktywna trombocytoza</li>
    <li>Czerwienica prawdziwa, erytrocytoza pierwotna</li>
    <li>Redystrybucja (wysiłek, wyrzut adrenaliny)</li>
</ol>
```"
10,Limfocyty,"```html
<ol>
    <li>Zakażenia wirusowe: Pewne choroby, takie jak wirus niedoboru immunologicznego kotów (FIV) lub parwowiroza (CPV), powodują zmniejszenie liczby limfocytów u psów i kotów.</li>
    <li>Choroby immunosupresyjne: W tym m.in. wirusowe niedobory immunologiczne u psów lub wirusowe białaczki kotów.</li>
    <li>Przewlekły stres.</li>
    <li>Terapia sterydowa.</li>
    <li>Toczęń układowy.</li>
    <li>Chemioterapia.</li>
    <li>Nadczynność kory nadnerczy.</li>
    <li>Ostre zapalenie lub infekcja.</li>
    <li>Niedożywienie.</li>
    <li>Radioterapia.</li>
    <li>Przewlekła białaczka limfocytowa.</li>
</ol>
```","```html
<ol>
    <li>Chłoniak.</li>
    <li>Choroby zakaźne, takie jak nosówka psów lub białaczka kotów.</li>
    <li>Przewlekłe stany zapalne.</li>
    <li>Reakcje alergiczne lub nadwrażliwość.</li>
    <li>Zakażenia pasożytnicze.</li>
    <li>Choroby układu odpornościowego.</li>
    <li>Stres lub podekscytowanie.</li>
    <li>Określone leki lub szczepienia.</li>
    <li>Choroby szpiku kostnego np. białaczka.</li>
</ol>
```"
30,Lipaza,"```html
<ol>
    <li>Zewnątrzwydzielnicza niewydolność trzustki.</li>
    <li>Przewlekłe zapalenie trzustki.</li>
    <li>Zespoły złego wchłaniania.</li>
    <li>Niedoczynność przysadki mózgowej.</li>
    <li>Zmiany związane z wiekiem.</li>
    <li>Dieta.</li>
    <li>Przewlekła choroba nerek.</li>
    <li>Choroba wątroby.</li>
    <li>Niektóre leki (np. sterydy).</li>
    <li>Zaburzenia genetyczne: np. owczarki niemieckie i szorstkowłose collie.</li>
</ol>
```","```html
<ol>
    <li>Zapalenie trzustki,</li>
    <li>Nowotwór trzustki,</li>
    <li>Niedrożność przewodu trzustkowego,</li>
    <li>Zapalenie wątroby i dróg żółciowych,</li>
    <li>Stłuszczenie wątroby,</li>
    <li>Choroba nerek.</li>
</ol>
```"
